scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.7400000000000001,0.5,0.5,9,100,507,1000,44.686
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7400000000000001,0.5,0.5,9,100,509,1000,2.14
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7400000000000001,0.5,0.5,9,100,497,1000,55.24
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7400000000000001,0.5,0.5,9,100,517,1000,1.495
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7400000000000001,0.5,0.5,9,100,709,1000,53.927
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.7600000000000001,0.5,0.5,9,100,524,1000,6.195
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.7600000000000001,0.5,0.5,9,100,505,1000,41.739
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7600000000000001,0.5,0.5,9,100,509,1000,2.373
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7600000000000001,0.5,0.5,9,100,514,1000,52.851
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7600000000000001,0.5,0.5,9,100,470,1000,1.232
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7600000000000001,0.5,0.5,9,100,739,1000,54.02
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.7800000000000001,0.5,0.5,9,100,498,1000,6.096
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.7800000000000001,0.5,0.5,9,100,503,1000,44.258
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7800000000000001,0.5,0.5,9,100,507,1000,2.334
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7800000000000001,0.5,0.5,9,100,517,1000,54.821
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7800000000000001,0.5,0.5,9,100,518,1000,1.679
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7800000000000001,0.5,0.5,9,100,731,1000,54.71
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.8000000000000002,0.5,0.5,9,100,521,1000,5.652
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.8000000000000002,0.5,0.5,9,100,508,1000,43.234
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8000000000000002,0.5,0.5,9,100,486,1000,2.29
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8000000000000002,0.5,0.5,9,100,510,1000,53.472
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8000000000000002,0.5,0.5,9,100,531,1000,1.255
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.8000000000000002,0.5,0.5,9,100,752,1000,54.632
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.8200000000000002,0.5,0.5,9,100,502,1000,6.113
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.8200000000000002,0.5,0.5,9,100,532,1000,44.52
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8200000000000002,0.5,0.5,9,100,498,1000,2.384
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8200000000000002,0.5,0.5,9,100,503,1000,53.114
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8200000000000002,0.5,0.5,9,100,520,1000,0.95
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.8200000000000002,0.5,0.5,9,100,752,1000,55.393
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.8400000000000002,0.5,0.5,9,100,521,1000,5.793
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.8400000000000002,0.5,0.5,9,100,531,1000,43.284
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8400000000000002,0.5,0.5,9,100,481,1000,2.316
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8400000000000002,0.5,0.5,9,100,525,1000,51.879
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8400000000000002,0.5,0.5,9,100,525,1000,1.278
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.8400000000000002,0.5,0.5,9,100,730,1000,55.089
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.8600000000000002,0.5,0.5,9,100,515,1000,5.623
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.8600000000000002,0.5,0.5,9,100,513,1000,43.902
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8600000000000002,0.5,0.5,9,100,475,1000,2.34
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8600000000000002,0.5,0.5,9,100,532,1000,52.649
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8600000000000002,0.5,0.5,9,100,534,1000,1.411
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.8600000000000002,0.5,0.5,9,100,749,1000,56.352
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.8800000000000002,0.5,0.5,9,100,472,1000,6.084
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.8800000000000002,0.5,0.5,9,100,503,1000,41.908
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8800000000000002,0.5,0.5,9,100,491,1000,2.396
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8800000000000002,0.5,0.5,9,100,521,1000,54.221
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8800000000000002,0.5,0.5,9,100,547,1000,1.151
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.8800000000000002,0.5,0.5,9,100,720,1000,54.722
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.9000000000000002,0.5,0.5,9,100,492,1000,5.488
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.9000000000000002,0.5,0.5,9,100,503,1000,42.841
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9000000000000002,0.5,0.5,9,100,504,1000,2.127
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9000000000000002,0.5,0.5,9,100,537,1000,52.827
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.9000000000000002,0.5,0.5,9,100,536,1000,1.415
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.9000000000000002,0.5,0.5,9,100,744,1000,56.323
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.9200000000000003,0.5,0.5,9,100,496,1000,6.041
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.9200000000000003,0.5,0.5,9,100,505,1000,43.41
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9200000000000003,0.5,0.5,9,100,512,1000,2.166
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9200000000000003,0.5,0.5,9,100,520,1000,55.346
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.9200000000000003,0.5,0.5,9,100,517,1000,1.066
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.9200000000000003,0.5,0.5,9,100,730,1000,56.012
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.9400000000000003,0.5,0.5,9,100,513,1000,6.278
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.9400000000000003,0.5,0.5,9,100,519,1000,42.398
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9400000000000003,0.5,0.5,9,100,499,1000,2.501
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9400000000000003,0.5,0.5,9,100,524,1000,52.104
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.9400000000000003,0.5,0.5,9,100,514,1000,1.306
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.9400000000000003,0.5,0.5,9,100,751,1000,54.338
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.9600000000000003,0.5,0.5,9,100,462,1000,5.662
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.9600000000000003,0.5,0.5,9,100,515,1000,42.86
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9600000000000003,0.5,0.5,9,100,522,1000,2.158
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9600000000000003,0.5,0.5,9,100,526,1000,53.45
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.9600000000000003,0.5,0.5,9,100,507,1000,1.329
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.9600000000000003,0.5,0.5,9,100,738,1000,54.506
baseline,complete,N/A,N/A,0.5,0.5,0,0,0.6,0.9800000000000003,0.5,0.5,9,100,489,1000,6.091
restrict_dissemination,star,random,N/A,0.5,0.5,0,0,0.6,0.9800000000000003,0.5,0.5,9,100,497,1000,43.087
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9800000000000003,0.5,0.5,9,100,479,1000,2.319
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9800000000000003,0.5,0.5,9,100,518,1000,54.945
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.9800000000000003,0.5,0.5,9,100,524,1000,1.332
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.9800000000000003,0.5,0.5,9,100,710,1000,55.441
