scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.6,0.3300000000000007,0.3300000000000007,9,100,519,1000,3.961
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.6,0.3300000000000007,0.3300000000000007,9,100,528,1000,48.828
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.62,0.3300000000000007,0.3300000000000007,9,100,496,1000,3.677
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.62,0.3300000000000007,0.3300000000000007,9,100,531,1000,52.266
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.64,0.3300000000000007,0.3300000000000007,9,100,502,1000,3.674
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.64,0.3300000000000007,0.3300000000000007,9,100,525,1000,51.152
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.66,0.3300000000000007,0.3300000000000007,9,100,497,1000,3.842
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.66,0.3300000000000007,0.3300000000000007,9,100,485,1000,50.616
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.68,0.3300000000000007,0.3300000000000007,9,100,502,1000,3.713
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.68,0.3300000000000007,0.3300000000000007,9,100,490,1000,51.326
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.7000000000000001,0.3300000000000007,0.3300000000000007,9,100,458,1000,4.038
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.7000000000000001,0.3300000000000007,0.3300000000000007,9,100,506,1000,53.683
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.7200000000000001,0.3300000000000007,0.3300000000000007,9,100,484,1000,3.7
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.7200000000000001,0.3300000000000007,0.3300000000000007,9,100,471,1000,50.637
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.7400000000000001,0.3300000000000007,0.3300000000000007,9,100,465,1000,3.577
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.7400000000000001,0.3300000000000007,0.3300000000000007,9,100,499,1000,51.912
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.7600000000000001,0.3300000000000007,0.3300000000000007,9,100,521,1000,3.727
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.7600000000000001,0.3300000000000007,0.3300000000000007,9,100,503,1000,50.743
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.7800000000000001,0.3300000000000007,0.3300000000000007,9,100,500,1000,3.851
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.7800000000000001,0.3300000000000007,0.3300000000000007,9,100,503,1000,51.863
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.8000000000000002,0.3300000000000007,0.3300000000000007,9,100,488,1000,3.611
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.8000000000000002,0.3300000000000007,0.3300000000000007,9,100,504,1000,50.437
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.8200000000000002,0.3300000000000007,0.3300000000000007,9,100,494,1000,3.905
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.8200000000000002,0.3300000000000007,0.3300000000000007,9,100,523,1000,51.285
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.8400000000000002,0.3300000000000007,0.3300000000000007,9,100,492,1000,3.845
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.8400000000000002,0.3300000000000007,0.3300000000000007,9,100,510,1000,50.601
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.8600000000000002,0.3300000000000007,0.3300000000000007,9,100,479,1000,3.57
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.8600000000000002,0.3300000000000007,0.3300000000000007,9,100,486,1000,50.717
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.8800000000000002,0.3300000000000007,0.3300000000000007,9,100,493,1000,3.672
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.8800000000000002,0.3300000000000007,0.3300000000000007,9,100,507,1000,52.019
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.9000000000000002,0.3300000000000007,0.3300000000000007,9,100,502,1000,3.77
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.9000000000000002,0.3300000000000007,0.3300000000000007,9,100,506,1000,50.506
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.6,0.9200000000000003,0.3300000000000007,0.3300000000000007,9,100,523,1000,3.967
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.6,0.9200000000000003,0.3300000000000007,0.3300000000000007,9,100,495,1000,50.319
