scenario,which_arm_restricted,num_agents,p,inertia,sim_id,agent_id,was_correct,time_to_lock
baseline,N/A,9,0.6,5,14,5,True,6
baseline,N/A,9,0.6,5,14,6,True,6
baseline,N/A,9,0.6,5,14,7,True,6
baseline,N/A,9,0.6,5,14,8,True,6
baseline,N/A,9,0.6,5,15,0,True,17
baseline,N/A,9,0.6,5,15,1,True,17
baseline,N/A,9,0.6,5,15,2,True,17
baseline,N/A,9,0.6,5,15,3,True,17
baseline,N/A,9,0.6,5,15,4,True,17
baseline,N/A,9,0.6,5,15,5,True,17
baseline,N/A,9,0.6,5,15,6,True,17
baseline,N/A,9,0.6,5,15,7,True,17
baseline,N/A,9,0.6,5,15,8,True,17
baseline,N/A,9,0.6,5,16,0,True,14
baseline,N/A,9,0.6,5,16,1,True,14
baseline,N/A,9,0.6,5,16,2,True,14
baseline,N/A,9,0.6,5,16,3,True,14
baseline,N/A,9,0.6,5,16,4,True,14
baseline,N/A,9,0.6,5,16,5,True,14
baseline,N/A,9,0.6,5,16,6,True,14
baseline,N/A,9,0.6,5,16,7,True,14
baseline,N/A,9,0.6,5,16,8,True,14
baseline,N/A,9,0.6,5,17,0,True,1
baseline,N/A,9,0.6,5,17,1,True,1
baseline,N/A,9,0.6,5,17,2,True,1
baseline,N/A,9,0.6,5,17,3,True,1
baseline,N/A,9,0.6,5,17,4,True,1
baseline,N/A,9,0.6,5,17,5,True,1
baseline,N/A,9,0.6,5,17,6,True,1
baseline,N/A,9,0.6,5,17,7,True,1
baseline,N/A,9,0.6,5,17,8,True,1
baseline,N/A,9,0.6,5,18,0,True,21
baseline,N/A,9,0.6,5,18,1,True,21
baseline,N/A,9,0.6,5,18,2,True,21
baseline,N/A,9,0.6,5,18,3,True,21
baseline,N/A,9,0.6,5,18,4,True,21
baseline,N/A,9,0.6,5,18,5,True,21
baseline,N/A,9,0.6,5,18,6,True,21
baseline,N/A,9,0.6,5,18,7,True,21
baseline,N/A,9,0.6,5,18,8,True,21
baseline,N/A,9,0.6,5,19,0,True,12
baseline,N/A,9,0.6,5,19,1,True,12
baseline,N/A,9,0.6,5,19,2,True,11
baseline,N/A,9,0.6,5,19,3,True,11
baseline,N/A,9,0.6,5,19,4,True,11
baseline,N/A,9,0.6,5,19,5,True,12
baseline,N/A,9,0.6,5,19,6,True,12
baseline,N/A,9,0.6,5,19,7,True,11
baseline,N/A,9,0.6,5,19,8,True,12
