scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.4,0.3300000000000007,0.3300000000000007,9,100,513,1000,4.142
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.4,0.3300000000000007,0.3300000000000007,9,100,522,1000,46.321
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.42000000000000004,0.3300000000000007,0.3300000000000007,9,100,493,1000,4.102
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.42000000000000004,0.3300000000000007,0.3300000000000007,9,100,512,1000,48.723
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.44000000000000006,0.3300000000000007,0.3300000000000007,9,100,499,1000,4.245
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.44000000000000006,0.3300000000000007,0.3300000000000007,9,100,509,1000,51.365
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.4600000000000001,0.3300000000000007,0.3300000000000007,9,100,492,1000,3.794
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.4600000000000001,0.3300000000000007,0.3300000000000007,9,100,535,1000,50.601
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.4800000000000001,0.3300000000000007,0.3300000000000007,9,100,501,1000,3.843
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.4800000000000001,0.3300000000000007,0.3300000000000007,9,100,543,1000,48.841
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.5000000000000001,0.3300000000000007,0.3300000000000007,9,100,489,1000,4.06
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.5000000000000001,0.3300000000000007,0.3300000000000007,9,100,532,1000,49.664
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.5200000000000001,0.3300000000000007,0.3300000000000007,9,100,498,1000,4.203
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.5200000000000001,0.3300000000000007,0.3300000000000007,9,100,564,1000,49.172
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.5400000000000001,0.3300000000000007,0.3300000000000007,9,100,496,1000,3.827
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.5400000000000001,0.3300000000000007,0.3300000000000007,9,100,564,1000,49.9
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.5600000000000002,0.3300000000000007,0.3300000000000007,9,100,536,1000,3.85
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.5600000000000002,0.3300000000000007,0.3300000000000007,9,100,574,1000,51.326
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.5800000000000002,0.3300000000000007,0.3300000000000007,9,100,526,1000,4.025
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.5800000000000002,0.3300000000000007,0.3300000000000007,9,100,526,1000,51.833
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.6000000000000002,0.3300000000000007,0.3300000000000007,9,100,500,1000,3.817
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.6000000000000002,0.3300000000000007,0.3300000000000007,9,100,520,1000,50.038
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.6200000000000002,0.3300000000000007,0.3300000000000007,9,100,498,1000,4.108
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.6200000000000002,0.3300000000000007,0.3300000000000007,9,100,561,1000,50.384
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.6400000000000002,0.3300000000000007,0.3300000000000007,9,100,504,1000,4.048
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.6400000000000002,0.3300000000000007,0.3300000000000007,9,100,551,1000,52.245
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.6600000000000003,0.3300000000000007,0.3300000000000007,9,100,505,1000,4.207
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.6600000000000003,0.3300000000000007,0.3300000000000007,9,100,529,1000,50.452
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.6800000000000003,0.3300000000000007,0.3300000000000007,9,100,475,1000,4.001
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.6800000000000003,0.3300000000000007,0.3300000000000007,9,100,541,1000,49.394
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.7000000000000003,0.3300000000000007,0.3300000000000007,9,100,507,1000,4.024
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.7000000000000003,0.3300000000000007,0.3300000000000007,9,100,538,1000,50.282
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.7200000000000003,0.3300000000000007,0.3300000000000007,9,100,508,1000,3.984
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.7200000000000003,0.3300000000000007,0.3300000000000007,9,100,522,1000,50.285
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.7400000000000003,0.3300000000000007,0.3300000000000007,9,100,498,1000,3.606
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.7400000000000003,0.3300000000000007,0.3300000000000007,9,100,520,1000,51.056
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.7600000000000003,0.3300000000000007,0.3300000000000007,9,100,546,1000,4.324
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.7600000000000003,0.3300000000000007,0.3300000000000007,9,100,530,1000,49.701
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.7800000000000004,0.3300000000000007,0.3300000000000007,9,100,499,1000,4.011
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.7800000000000004,0.3300000000000007,0.3300000000000007,9,100,522,1000,50.678
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.8000000000000004,0.3300000000000007,0.3300000000000007,9,100,517,1000,3.909
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.8000000000000004,0.3300000000000007,0.3300000000000007,9,100,537,1000,51.91
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.8200000000000004,0.3300000000000007,0.3300000000000007,9,100,507,1000,3.942
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.8200000000000004,0.3300000000000007,0.3300000000000007,9,100,547,1000,48.963
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.8400000000000004,0.3300000000000007,0.3300000000000007,9,100,505,1000,3.763
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.8400000000000004,0.3300000000000007,0.3300000000000007,9,100,537,1000,49.874
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.8600000000000004,0.3300000000000007,0.3300000000000007,9,100,488,1000,3.89
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.8600000000000004,0.3300000000000007,0.3300000000000007,9,100,551,1000,49.221
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.8800000000000004,0.3300000000000007,0.3300000000000007,9,100,519,1000,4.094
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.8800000000000004,0.3300000000000007,0.3300000000000007,9,100,529,1000,48.871
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.9000000000000005,0.3300000000000007,0.3300000000000007,9,100,475,1000,4.015
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.9000000000000005,0.3300000000000007,0.3300000000000007,9,100,538,1000,49.408
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.9200000000000005,0.3300000000000007,0.3300000000000007,9,100,506,1000,3.95
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.9200000000000005,0.3300000000000007,0.3300000000000007,9,100,522,1000,51.422
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.9400000000000005,0.3300000000000007,0.3300000000000007,9,100,501,1000,4.115
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.9400000000000005,0.3300000000000007,0.3300000000000007,9,100,534,1000,49.643
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.9600000000000005,0.3300000000000007,0.3300000000000007,9,100,502,1000,3.921
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.9600000000000005,0.3300000000000007,0.3300000000000007,9,100,560,1000,50.326
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.4,0.9800000000000005,0.3300000000000007,0.3300000000000007,9,100,484,1000,4.299
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.4,0.9800000000000005,0.3300000000000007,0.3300000000000007,9,100,541,1000,52.635
