scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.5,0.5,0.4245099999999997,0.42462999999999884,9,100,500,1000,1.449
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.5,0.5,0.4382933333333328,0.43464777777777786,9,100,495,1000,56.303
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.5,0.52,0.42305999999999866,0.4372299999999963,9,100,514,1000,1.457
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.5,0.52,0.43836999999999976,0.44564888888888576,9,100,534,1000,56.125
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.5,0.54,0.425549999999999,0.4440200000000028,9,100,496,1000,1.364
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.5,0.54,0.43471111111111077,0.45978777777778157,9,100,572,1000,55.642
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.5,0.56,0.42644999999999883,0.45442,9,100,492,1000,1.496
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.5,0.56,0.42881333333333294,0.4769577777777789,9,100,607,1000,57.251
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.5,0.5800000000000001,0.4241999999999994,0.46508999999999673,9,100,505,1000,1.321
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.5,0.5800000000000001,0.431113333333333,0.487827777777775,9,100,623,1000,57.451
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.5,0.6000000000000001,0.4235399999999992,0.4771700000000029,9,100,506,1000,1.345
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.5,0.6000000000000001,0.4349888888888884,0.49442444444444883,9,100,588,1000,54.669
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.5,0.6200000000000001,0.42779999999999885,0.48176000000000074,9,100,486,1000,1.562
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.5,0.6200000000000001,0.43417555555555554,0.5032744444444461,9,100,610,1000,55.365
