scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.6,0.5623200000000036,0.5635900000000036,9,100,504,1000,1.589
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.6,0.5658188888888944,0.5643077777777821,9,100,490,1000,47.04
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.62,0.5652300000000038,0.5733799999999996,9,100,487,1000,1.892
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.62,0.562377777777782,0.5789133333333347,9,100,599,1000,48.066
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.64,0.5655800000000035,0.5824199999999925,9,100,487,1000,1.595
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.64,0.5637900000000041,0.5880533333333281,9,100,638,1000,48.909
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.66,0.5627200000000032,0.5950400000000006,9,100,510,1000,1.217
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.66,0.5639900000000039,0.6006588888888911,9,100,679,1000,51.115
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.68,0.5633000000000031,0.601639999999996,9,100,497,1000,1.565
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.68,0.5622244444444484,0.6153899999999983,9,100,727,1000,51.515
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7000000000000001,0.563650000000004,0.6120399999999978,9,100,499,1000,1.245
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7000000000000001,0.5658777777777836,0.618676666666666,9,100,693,1000,51.93
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7200000000000001,0.5632000000000035,0.6249600000000058,9,100,509,1000,1.374
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7200000000000001,0.5619800000000043,0.6367322222222299,9,100,727,1000,52.989
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7400000000000001,0.5648000000000037,0.6281800000000002,9,100,477,1000,1.379
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7400000000000001,0.5627477777777822,0.6489400000000035,9,100,745,1000,53.748
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7600000000000001,0.5642700000000036,0.6426799999999937,9,100,497,1000,1.63
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7600000000000001,0.5634566666666714,0.6561333333333301,9,100,725,1000,54.554
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.7800000000000001,0.560570000000003,0.6599299999999891,9,100,526,1000,1.006
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.7800000000000001,0.5636400000000048,0.6688677777777697,9,100,728,1000,55.168
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8000000000000002,0.562280000000003,0.6708899999999947,9,100,529,1000,1.282
restrict_dissemination,star,random,N/A,0.5,0.5,0.01,0.01,0.6,0.8000000000000002,0.5619988888888935,0.6846488888888853,9,100,754,1000,52.821
baseline,complete,N/A,N/A,0.5,0.5,0.01,0.01,0.6,0.8200000000000002,0.5626900000000039,0.672820000000001,9,100,501,1000,1.205
