scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.5,0.5,0.05,0.05,0.6,0.6,0.5824500000000079,0.5838000000000088,9,100,511,1000,2.395
restrict_dissemination,star,random,N/A,0.5,0.5,0.05,0.05,0.6,0.6,0.5695833333333398,0.572338888888895,9,100,497,1000,38.953
baseline,complete,N/A,N/A,0.5,0.5,0.05,0.05,0.6,0.62,0.5820500000000082,0.5958700000000033,9,100,523,1000,2.058
restrict_dissemination,star,random,N/A,0.5,0.5,0.05,0.05,0.6,0.62,0.5711722222222284,0.5861133333333352,9,100,625,1000,43.277
baseline,complete,N/A,N/A,0.5,0.5,0.05,0.05,0.6,0.64,0.5812500000000087,0.6101099999999938,9,100,559,1000,1.726
restrict_dissemination,star,random,N/A,0.5,0.5,0.05,0.05,0.6,0.64,0.569711111111117,0.5986822222222171,9,100,725,1000,44.792
baseline,complete,N/A,N/A,0.5,0.5,0.05,0.05,0.6,0.66,0.5826500000000084,0.6214200000000026,9,100,555,1000,1.489
restrict_dissemination,star,random,N/A,0.5,0.5,0.05,0.05,0.6,0.66,0.5711888888888949,0.6110700000000023,9,100,787,1000,48.467
baseline,complete,N/A,N/A,0.5,0.5,0.05,0.05,0.6,0.68,0.5831500000000085,0.6339199999999977,9,100,552,1000,1.963
restrict_dissemination,star,random,N/A,0.5,0.5,0.05,0.05,0.6,0.68,0.5700277777777842,0.6254711111111093,9,100,813,1000,48.597
baseline,complete,N/A,N/A,0.5,0.5,0.05,0.05,0.6,0.7000000000000001,0.5828000000000086,0.6480000000000021,9,100,559,1000,1.189
restrict_dissemination,star,random,N/A,0.5,0.5,0.05,0.05,0.6,0.7000000000000001,0.5704777777777843,0.6373611111111122,9,100,814,1000,49.447
baseline,complete,N/A,N/A,0.5,0.5,0.05,0.05,0.6,0.7200000000000001,0.5840000000000085,0.6570700000000105,9,100,569,1000,1.119
restrict_dissemination,star,random,N/A,0.5,0.5,0.05,0.05,0.6,0.7200000000000001,0.5696777777777845,0.6464588888888966,9,100,819,1000,49.319
baseline,complete,N/A,N/A,0.5,0.5,0.05,0.05,0.6,0.7400000000000001,0.5826000000000086,0.6721900000000045,9,100,579,1000,0.844
restrict_dissemination,star,random,N/A,0.5,0.5,0.05,0.05,0.6,0.7400000000000001,0.5707444444444508,0.6581633333333371,9,100,826,1000,51.048
baseline,complete,N/A,N/A,0.5,0.5,0.05,0.05,0.6,0.7600000000000001,0.5827500000000084,0.6837099999999945,9,100,584,1000,0.973
restrict_dissemination,star,random,N/A,0.5,0.5,0.05,0.05,0.6,0.7600000000000001,0.5709777777777839,0.6742033333333299,9,100,860,1000,50.981
