scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.4,0.37528999999999707,0.3754799999999971,9,100,506,1000,3.923
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.4,0.3785433333333311,0.3778066666666641,9,100,509,1000,43.709
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.42000000000000004,0.37497999999999704,0.38678000000000035,9,100,509,1000,3.921
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.42000000000000004,0.37844777777777533,0.39130888888888987,9,100,587,1000,49.086
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.44000000000000006,0.3735599999999972,0.3982999999999983,9,100,535,1000,3.1
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.44000000000000006,0.3767022222222195,0.4033122222222212,9,100,648,1000,45.883
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.4600000000000001,0.37534999999999713,0.4068899999999958,9,100,516,1000,3.315
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.4600000000000001,0.37914444444444134,0.4135211111111078,9,100,715,1000,51.459
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.4800000000000001,0.3745499999999969,0.41699000000000114,9,100,516,1000,3.158
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.4800000000000001,0.3769922222222202,0.4298855555555581,9,100,760,1000,54.642
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.5000000000000001,0.37349999999999756,0.43068999999999935,9,100,540,1000,2.496
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.5000000000000001,0.3777477777777758,0.44069555555555556,9,100,792,1000,54.001
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.5200000000000001,0.3751099999999971,0.43778999999999624,9,100,518,1000,2.469
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.5200000000000001,0.3770144444444425,0.4528488888888863,9,100,783,1000,54.084
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.5400000000000001,0.3752399999999965,0.44942000000000304,9,100,520,1000,2.583
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.5400000000000001,0.37705222222222007,0.46448444444444825,9,100,806,1000,53.556
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.5600000000000002,0.37512999999999663,0.4564499999999995,9,100,511,1000,2.512
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.5600000000000002,0.37640444444444143,0.4821677777777785,9,100,816,1000,54.131
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.5800000000000002,0.37437999999999727,0.4709699999999969,9,100,524,1000,2.605
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.5800000000000002,0.3773477777777755,0.48753666666666406,9,100,794,1000,54.211
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.6000000000000002,0.3744199999999976,0.4827000000000034,9,100,525,1000,2.795
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.6000000000000002,0.37705888888888683,0.5040600000000045,9,100,810,1000,55.576
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.6200000000000002,0.3723199999999977,0.4975800000000012,9,100,546,1000,2.294
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.6200000000000002,0.3774422222222198,0.512815555555558,9,100,809,1000,54.273
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.6400000000000002,0.37491999999999753,0.5004099999999932,9,100,520,1000,2.222
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.6400000000000002,0.3768988888888866,0.5273577777777725,9,100,810,1000,55.759
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.6600000000000003,0.37464999999999704,0.5068200000000048,9,100,506,1000,2.044
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.6600000000000003,0.37714111111110876,0.537604444444449,9,100,819,1000,55.861
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.6800000000000003,0.37331999999999715,0.5317600000000017,9,100,552,1000,2.415
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.6800000000000003,0.37661333333333114,0.5536077777777785,9,100,807,1000,54.027
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.7000000000000003,0.3747699999999972,0.5372299999999961,9,100,531,1000,3.123
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.7000000000000003,0.3779211111111088,0.5592488888888874,9,100,821,1000,54.618
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.7200000000000003,0.37535999999999764,0.5414200000000063,9,100,519,1000,2.859
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.7200000000000003,0.3768722222222199,0.580370000000007,9,100,827,1000,57.421
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.7400000000000003,0.37363999999999753,0.5609400000000031,9,100,543,1000,2.321
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.7400000000000003,0.3756388888888867,0.5996088888888922,9,100,830,1000,54.309
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.7600000000000003,0.3745799999999973,0.5705499999999966,9,100,540,1000,2.757
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.7600000000000003,0.3776499999999973,0.5985311111111079,9,100,812,1000,56.023
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.4,0.7800000000000004,0.3734599999999973,0.5850799999999919,9,100,547,1000,2.33
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.4,0.7800000000000004,0.3760422222222203,0.6217555555555482,9,100,832,1000,56.383
