scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.6,0.5720600000000057,0.5708800000000054,9,100,487,1000,2.475
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.6,0.5667533333333382,0.5674888888888937,9,100,507,1000,44.744
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.62,0.570460000000006,0.5819200000000012,9,100,517,1000,1.627
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.62,0.5657377777777822,0.5818844444444462,9,100,614,1000,46.3
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.64,0.5711600000000059,0.5924999999999929,9,100,503,1000,1.492
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.64,0.5675577777777832,0.591111111111105,9,100,654,1000,44.1
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.66,0.5688400000000047,0.6082200000000011,9,100,551,1000,1.578
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.66,0.5642733333333381,0.6082155555555567,9,100,728,1000,47.855
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.68,0.5702600000000053,0.6131599999999967,9,100,522,1000,1.432
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.68,0.56618444444445,0.6170422222222205,9,100,752,1000,52.797
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.7000000000000001,0.5709800000000046,0.6241199999999993,9,100,513,1000,1.349
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.7000000000000001,0.5668422222222279,0.6288133333333323,9,100,789,1000,50.638
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.7200000000000001,0.5686400000000039,0.6410400000000073,9,100,554,1000,1.247
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.7200000000000001,0.5659644444444495,0.6389022222222287,9,100,759,1000,49.621
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.7400000000000001,0.572140000000006,0.6453000000000023,9,100,518,1000,1.281
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.7400000000000001,0.5677377777777828,0.6487422222222249,9,100,769,1000,54.361
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.7600000000000001,0.5703000000000047,0.6587399999999946,9,100,529,1000,1.166
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.7600000000000001,0.5658133333333377,0.665177777777773,9,100,780,1000,51.539
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.7800000000000001,0.5684800000000046,0.677619999999989,9,100,567,1000,1.053
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.7800000000000001,0.5647822222222268,0.6830799999999905,9,100,789,1000,53.292
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.8000000000000002,0.5708800000000054,0.6780199999999954,9,100,524,1000,1.238
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.8000000000000002,0.565933333333338,0.6906822222222181,9,100,807,1000,54.375
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.8200000000000002,0.568180000000005,0.6923000000000021,9,100,536,1000,0.956
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.8200000000000002,0.5668977777777825,0.7042511111111156,9,100,812,1000,54.861
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.8400000000000002,0.5696200000000049,0.7016199999999979,9,100,533,1000,0.941
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.8400000000000002,0.5640044444444492,0.7195466666666671,9,100,791,1000,53.721
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.8600000000000002,0.5689600000000045,0.7116000000000041,9,100,533,1000,1.062
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.8600000000000002,0.5635777777777828,0.7319600000000045,9,100,811,1000,55.075
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.8800000000000002,0.5722600000000057,0.7108799999999957,9,100,499,1000,1.181
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.8800000000000002,0.5638688888888942,0.7466111111111079,9,100,828,1000,54.341
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.9000000000000002,0.569480000000004,0.7366199999999913,9,100,539,1000,1.267
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.9000000000000002,0.5647044444444489,0.7563844444444369,9,100,787,1000,52.82
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.9200000000000003,0.5705200000000061,0.7423199999999915,9,100,532,1000,1.278
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.9200000000000003,0.5659177777777828,0.7696377777777712,9,100,833,1000,54.888
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.9400000000000003,0.5689400000000041,0.7608400000000067,9,100,550,1000,0.872
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.9400000000000003,0.5659600000000055,0.7722666666666742,9,100,800,1000,53.486
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.9600000000000003,0.5695600000000044,0.7692200000000013,9,100,542,1000,1.001
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.9600000000000003,0.5640466666666712,0.7982244444444475,9,100,831,1000,57.201
baseline,complete,N/A,N/A,0.5,0.5,0.02,0.02,0.6,0.9800000000000003,0.5711800000000051,0.7653600000000029,9,100,511,1000,1.196
restrict_dissemination,star,random,N/A,0.5,0.5,0.02,0.02,0.6,0.9800000000000003,0.5653600000000044,0.8017022222222273,9,100,800,1000,54.604
