scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.5,0.3300000000000007,0.3300000000000007,9,100,495,1000,4.012
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.5,0.3300000000000007,0.3300000000000007,9,100,509,1000,51.854
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.52,0.3300000000000007,0.3300000000000007,9,100,522,1000,3.619
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.52,0.3300000000000007,0.3300000000000007,9,100,483,1000,52.365
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.54,0.3300000000000007,0.3300000000000007,9,100,500,1000,3.791
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.54,0.3300000000000007,0.3300000000000007,9,100,509,1000,50.192
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.56,0.3300000000000007,0.3300000000000007,9,100,483,1000,3.894
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.56,0.3300000000000007,0.3300000000000007,9,100,512,1000,50.768
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.5800000000000001,0.3300000000000007,0.3300000000000007,9,100,497,1000,3.726
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.5800000000000001,0.3300000000000007,0.3300000000000007,9,100,493,1000,51.867
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.6000000000000001,0.3300000000000007,0.3300000000000007,9,100,521,1000,3.815
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.6000000000000001,0.3300000000000007,0.3300000000000007,9,100,496,1000,50.569
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.6200000000000001,0.3300000000000007,0.3300000000000007,9,100,512,1000,3.403
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.6200000000000001,0.3300000000000007,0.3300000000000007,9,100,540,1000,50.044
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.6400000000000001,0.3300000000000007,0.3300000000000007,9,100,485,1000,3.564
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.6400000000000001,0.3300000000000007,0.3300000000000007,9,100,499,1000,52.318
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.6600000000000001,0.3300000000000007,0.3300000000000007,9,100,503,1000,4.047
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.6600000000000001,0.3300000000000007,0.3300000000000007,9,100,505,1000,50.318
baseline,complete,N/A,N/A,0.33,0.33,0.001,0.001,0.5,0.6800000000000002,0.3300000000000007,0.3300000000000007,9,100,499,1000,4.126
restrict_dissemination,star,random,N/A,0.33,0.33,0.001,0.001,0.5,0.6800000000000002,0.3300000000000007,0.3300000000000007,9,100,475,1000,51.394
