scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,default,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged,avg_group_time_to_converge_succ,min_group_time_to_converge_succ,median_group_time_to_converge_succ,max_group_time_to_converge_succ,stnd_dev_group_time_to_converge_succ,times_group_converged_succ
baseline,complete,N/A,0.5,0.6200000000000001,9,N/A,1000,808,1000,7236.736,0,8995.0,9000,3541.880210609049,6.665,1,1.0,987,38.58026406078631,6.827,1,1.0,987,38.59832989910315,1000,7.866336633663367,1,1.0,987,42.80579510417414,808
restrict_dissemination,star,random,0.5,0.6200000000000001,9,-1,1000,970,1000,7013.117,0,8926.0,9000,2602.8824167278476,8.403,1,2.0,567,22.012328159465543,28.075125208681136,1,10.0,576,56.49618627880498,599,28.845342706502635,1,10.0,576,57.60358424331708,569
baseline,complete,N/A,0.5,0.6300000000000001,9,N/A,1000,807,1000,7242.952,0,8996.0,9000,3549.232975122371,6.25,1,1.0,837,38.06853687758436,6.377,1,1.0,837,38.07330916797224,1000,5.744733581164808,1,1.0,837,32.183708561944016,807
restrict_dissemination,star,random,0.5,0.6300000000000001,9,-1,1000,988,1000,7300.432,0,8949.0,9000,2344.420013857585,9.173,1,2.0,229,19.404253940824418,29.09268292682927,1,11.0,797,63.40513324700293,615,29.58374792703151,1,12.0,797,63.93405237132799,603
baseline,complete,N/A,0.5,0.6400000000000001,9,N/A,1000,830,1000,7454.114,0,8998.0,9000,3374.60638134346,6.071,1,1.0,801,38.3833812866975,6.25,1,1.0,801,38.37923266559664,1000,5.593975903614457,1,1.0,687,30.122964259157087,830
restrict_dissemination,star,random,0.5,0.6400000000000001,9,-1,1000,987,1000,7107.125,0,8935.5,9000,2389.5096453822903,7.165,1,1.0,179,14.973836348778491,31.9402460456942,1,10.0,880,88.60631484561034,569,30.872531418312388,1,10.0,859,81.94401852404117,557
baseline,complete,N/A,0.5,0.6500000000000001,9,N/A,1000,846,1000,7597.863,0,9000.0,9000,3242.677043159093,4.47,1,1.0,320,17.250423183214956,4.628,1,1.0,320,17.293224569177376,1000,4.897163120567376,1,1.0,320,17.847199262151545,846
restrict_dissemination,star,random,0.5,0.6500000000000001,9,-1,1000,984,1000,7249.547,0,8953.5,9000,2309.2097210498227,7.235,1,1.0,353,22.884312858375274,21.215017064846418,1,8.0,799,58.141097467805004,586,20.233333333333334,1,8.0,695,49.05042100909625,570
baseline,complete,N/A,0.5,0.6600000000000001,9,N/A,1000,860,1000,7719.758,0,9000.0,9000,3120.695123756244,5.057,1,1.0,575,30.828878523228834,5.152,1,1.0,575,30.832173066457706,1000,5.609302325581395,1,1.0,575,33.10007246499121,860
restrict_dissemination,star,random,0.5,0.6600000000000001,9,-1,1000,991,1000,7319.977,0,8964.0,9000,2287.685721088236,7.582,1,1.0,288,21.593037674213416,22.259197324414714,1,8.0,615,51.98994668084832,598,22.473684210526315,1,8.0,615,52.339962918835724,589
baseline,complete,N/A,0.5,0.6700000000000002,9,N/A,1000,868,1000,7789.663,0,9000.0,9000,3052.023492607978,5.481,1,1.0,982,42.77741973284504,5.908,1,1.0,982,43.69537202038678,1000,5.38479262672811,1,1.0,982,38.39534040803861,868
restrict_dissemination,star,random,0.5,0.6700000000000002,9,-1,1000,990,1000,7522.246,0,8971.5,9000,2071.873258547443,6.135,1,1.0,563,21.69467158082832,26.67380560131796,1,7.0,758,75.82755313655585,607,26.926544240400666,1,7.0,758,76.29912980232442,599
baseline,complete,N/A,0.5,0.6800000000000002,9,N/A,1000,875,1000,7845.714,0,9000.0,9000,2977.6949484801157,5.45,1,1.0,587,35.55026722825019,5.547,1,1.0,587,35.58105944178728,1000,5.354285714285714,1,1.0,587,33.43524524345224,875
restrict_dissemination,star,random,0.5,0.6800000000000002,9,-1,1000,989,1000,7527.428,0,8971.0,9000,2106.4994874948343,5.47,1,1.0,92,10.92314515146622,17.802931596091206,1,7.0,862,49.48469237733383,614,18.006600660066006,1,7.0,862,49.778021672017076,606
baseline,complete,N/A,0.5,0.6900000000000002,9,N/A,1000,892,1000,8004.045,0,9000.0,9000,2797.5101695927756,4.294,1,1.0,691,30.220681064463122,4.415,1,1.0,691,30.22715294234639,1000,4.697309417040358,1,1.0,691,31.950218311615124,892
restrict_dissemination,star,random,0.5,0.6900000000000002,9,-1,1000,986,1000,7632.072,0,8975.0,9000,1917.2983077278298,4.113,1,1.0,339,14.874146395675956,14.96271186440678,1,5.0,816,47.23926081277433,590,15.077186963979416,1,5.0,816,47.50609831010578,583
