scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,default,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged
restrict_dissemination,star,random,0.5,0.7700000000000002,9,-1,1000,988,1000,8149.044,0,8993.0,9000,1400.563671549423,3.844,1,1.0,329,18.866151276823796,7.199386503067485,1,2.0,329,21.85219730898894,652
baseline,complete,N/A,0.5,0.7900000000000003,9,N/A,1000,954,1000,8578.209,0,9000.0,9000,1884.6415285987412,2.148,1,1.0,149,8.277807439171317,2.215,1,1.0,149,8.296551994654166,1000
restrict_dissemination,star,random,0.5,0.7900000000000003,9,-1,1000,985,1000,8136.342,1,8994.0,9000,1428.9530345802132,1.672,1,1.0,69,3.0312400102928185,5.723241590214068,1,2.0,755,38.05156863692514,654
baseline,complete,N/A,0.5,0.8100000000000003,9,N/A,1000,957,1000,8598.274,0,9000.0,9000,1833.5797596297793,2.735,1,1.0,610,22.324712204192018,2.807,1,1.0,611,22.353920260213865,1000
restrict_dissemination,star,random,0.5,0.8100000000000003,9,-1,1000,996,1000,8311.5,0,8996.0,9000,1236.9943338592946,4.418,1,1.0,707,41.03719381244288,7.637956204379562,1,1.0,707,45.086942987296084,685
baseline,complete,N/A,0.5,0.8300000000000003,9,N/A,1000,980,1000,8795.663,0,9000.0,9000,1290.4074493860455,3.753,1,1.0,594,32.64885895402778,3.823,1,1.0,594,32.68944280650865,1000
restrict_dissemination,star,random,0.5,0.8300000000000003,9,-1,1000,991,1000,8318.709,2,8997.0,9000,1242.9952076814295,1.463,1,1.0,39,2.183719533273447,3.919308357348703,1,1.0,246,12.748141146522471,694
baseline,complete,N/A,0.5,0.8500000000000003,9,N/A,1000,975,1000,8770.584,0,9000.0,9000,1404.6334350797722,1.523,1,1.0,47,2.7747920642815744,1.593,1,1.0,47,2.8066618962746475,1000
restrict_dissemination,star,random,0.5,0.8500000000000003,9,-1,1000,999,1000,8507.906,1994,8998.0,9000,955.6249008706293,1.515,1,1.0,259,8.205594128398014,4.618206521739131,1,1.0,356,21.250949979808084,736
baseline,complete,N/A,0.5,0.8700000000000003,9,N/A,1000,977,1000,8788.365,0,9000.0,9000,1349.4559569600633,1.546,1,1.0,160,5.8998206752409015,1.61,1,1.0,160,5.92552951220395,1000
restrict_dissemination,star,random,0.5,0.8700000000000003,9,-1,1000,1000,1000,8545.891,2995,8999.0,9000,915.0262177222027,1.828,1,1.0,240,9.955320989300144,6.049333333333333,1,1.0,547,33.1444349208464,750
baseline,complete,N/A,0.5,0.8900000000000003,9,N/A,1000,991,1000,8913.376,0,9000.0,9000,854.2575938345528,1.645,1,1.0,271,10.077250369024283,1.692,1,1.0,272,10.10668768687348,1000
restrict_dissemination,star,random,0.5,0.8900000000000003,9,-1,1000,1000,1000,8600.697,2996,8999.0,9000,886.7115772284695,1.222,1,1.0,27,1.3246569367198435,4.470737913486005,1,1.0,382,20.107909491973984,786
