network_structure,ps[0],ps[1],num_agents,default,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,N/A,750,1000,0.514,5.14,37503828.83
complete,0.5,0.5001,10,N/A,760,1000,0.514,5.14,38003853.02
complete,0.5,0.5001,10,N/A,770,1000,0.514,5.14,38503865.47
complete,0.5,0.5001,10,N/A,780,1000,0.514,5.14,39003881.85
complete,0.5,0.5001,10,N/A,790,1000,0.514,5.14,39503932.07
complete,0.5,0.5001,10,N/A,800,1000,0.515,5.15,40004057.65
complete,0.5,0.5001,10,N/A,810,1000,0.515,5.15,40504093.88
complete,0.5,0.5001,10,N/A,820,1000,0.515,5.15,41004129.51
complete,0.5,0.5001,10,N/A,830,1000,0.514,5.14,41504156.24
complete,0.5,0.5001,10,N/A,840,1000,0.514,5.14,42004190.62
complete,0.5,0.5001,10,N/A,850,1000,0.514,5.14,42504261.74
complete,0.5,0.5001,10,N/A,860,1000,0.514,5.14,43004267.84
complete,0.5,0.5001,10,N/A,870,1000,0.514,5.14,43504375.87
complete,0.5,0.5001,10,N/A,880,1000,0.514,5.14,44004373.93
complete,0.5,0.5001,10,N/A,890,1000,0.514,5.14,44504412.8
complete,0.5,0.5001,10,N/A,900,1000,0.514,5.14,45004553.28
complete,0.5,0.5001,10,N/A,910,1000,0.514,5.14,45504640.73
complete,0.5,0.5001,10,N/A,920,1000,0.514,5.14,46004657.95
complete,0.5,0.5001,10,N/A,930,1000,0.514,5.14,46504659.92
complete,0.5,0.5001,10,N/A,940,1000,0.514,5.14,47004668.4
complete,0.5,0.5001,10,N/A,950,1000,0.514,5.14,47504728.65
complete,0.5,0.5001,10,N/A,960,1000,0.514,5.14,48004785.92
complete,0.5,0.5001,10,N/A,970,1000,0.514,5.14,48504707.21
complete,0.5,0.5001,10,N/A,980,1000,0.514,5.14,49004717.52
complete,0.5,0.5001,10,N/A,990,1000,0.514,5.14,49504727.77
