network_structure,ps[0],ps[1],num_agents,epsilon,n_steps,n_runs,success_convergence_rate,individuals_converged,total_successful_pulls
complete,0.5,0.5001,10,0.1,750,1000,0.575,5.75,3750379.01
complete,0.5,0.5001,10,0.1,760,1000,0.579,5.79,3800385.118
complete,0.5,0.5001,10,0.1,770,1000,0.579,5.79,3850380.446
complete,0.5,0.5001,10,0.1,780,1000,0.592,5.92,3900395.978
complete,0.5,0.5001,10,0.1,790,1000,0.581,5.81,3950397.635
complete,0.5,0.5001,10,0.1,800,1000,0.584,5.84,4000401.387
complete,0.5,0.5001,10,0.1,810,1000,0.58,5.8,4050394.834
complete,0.5,0.5001,10,0.1,820,1000,0.587,5.87,4100396.667
complete,0.5,0.5001,10,0.1,830,1000,0.585,5.85,4150395.785
complete,0.5,0.5001,10,0.1,840,1000,0.589,5.89,4200398.02
complete,0.5,0.5001,10,0.1,850,1000,0.592,5.92,4250402.155
complete,0.5,0.5001,10,0.1,860,1000,0.589,5.89,4300405.786
complete,0.5,0.5001,10,0.1,870,1000,0.594,5.94,4350418.572
complete,0.5,0.5001,10,0.1,880,1000,0.594,5.94,4400419.742
complete,0.5,0.5001,10,0.1,890,1000,0.594,5.94,4450427.699
complete,0.5,0.5001,10,0.1,900,1000,0.595,5.95,4500437.787
complete,0.5,0.5001,10,0.1,910,1000,0.594,5.94,4550452.06
complete,0.5,0.5001,10,0.1,920,1000,0.601,6.01,4600454.507
complete,0.5,0.5001,10,0.1,930,1000,0.604,6.04,4650453.182
complete,0.5,0.5001,10,0.1,940,1000,0.604,6.04,4700464.194
complete,0.5,0.5001,10,0.1,950,1000,0.604,6.04,4750472.71
complete,0.5,0.5001,10,0.1,960,1000,0.602,6.02,4800476.111
complete,0.5,0.5001,10,0.1,970,1000,0.6,6.0,4850482.568
complete,0.5,0.5001,10,0.1,980,1000,0.598,5.98,4900486.102
complete,0.5,0.5001,10,0.1,990,1000,0.596,5.96,4950484.819
complete,0.5,0.5001,10,0.1,1000,1000,0.599,5.99,5000491.508
complete,0.5,0.5001,10,0.1,1010,1000,0.596,5.96,5050495.07
complete,0.5,0.5001,10,0.1,1020,1000,0.595,5.95,5100501.942
complete,0.5,0.5001,10,0.1,1030,1000,0.596,5.96,5150507.619
complete,0.5,0.5001,10,0.1,1040,1000,0.598,5.98,5200507.581
complete,0.5,0.5001,10,0.1,1050,1000,0.592,5.92,5250517.821
complete,0.5,0.5001,10,0.1,1060,1000,0.595,5.95,5300513.495
complete,0.5,0.5001,10,0.1,1070,1000,0.587,5.87,5350516.202
complete,0.5,0.5001,10,0.1,1080,1000,0.583,5.83,5400526.569
complete,0.5,0.5001,10,0.1,1090,1000,0.589,5.89,5450529.178
complete,0.5,0.5001,10,0.1,1100,1000,0.587,5.87,5500544.246
complete,0.5,0.5001,10,0.1,1110,1000,0.589,5.89,5550560.657
complete,0.5,0.5001,10,0.1,1120,1000,0.588,5.88,5600573.522
complete,0.5,0.5001,10,0.1,1130,1000,0.583,5.83,5650583.038
complete,0.5,0.5001,10,0.1,1140,1000,0.588,5.88,5700592.904
complete,0.5,0.5001,10,0.1,1150,1000,0.589,5.89,5750604.183
complete,0.5,0.5001,10,0.1,1160,1000,0.587,5.87,5800608.792
complete,0.5,0.5001,10,0.1,1170,1000,0.59,5.9,5850620.827
complete,0.5,0.5001,10,0.1,1180,1000,0.589,5.89,5900627.322
complete,0.5,0.5001,10,0.1,1190,1000,0.593,5.93,5950638.378
complete,0.5,0.5001,10,0.1,1200,1000,0.598,5.98,6000641.811
complete,0.5,0.5001,10,0.1,1210,1000,0.6,6.0,6050651.795
complete,0.5,0.5001,10,0.1,1220,1000,0.601,6.01,6100662.748
complete,0.5,0.5001,10,0.1,1230,1000,0.597,5.97,6150671.947
complete,0.5,0.5001,10,0.1,1240,1000,0.598,5.98,6200673.461
complete,0.5,0.5001,10,0.1,1250,1000,0.601,6.01,6250680.231
complete,0.5,0.5001,10,0.1,1260,1000,0.6,6.0,6300682.51
complete,0.5,0.5001,10,0.1,1270,1000,0.6,6.0,6350692.958
complete,0.5,0.5001,10,0.1,1280,1000,0.606,6.06,6400698.855
complete,0.5,0.5001,10,0.1,1290,1000,0.601,6.01,6450694.682
complete,0.5,0.5001,10,0.1,1300,1000,0.608,6.08,6500697.766
complete,0.5,0.5001,10,0.1,1310,1000,0.612,6.12,6550709.193
complete,0.5,0.5001,10,0.1,1320,1000,0.607,6.07,6600726.218
complete,0.5,0.5001,10,0.1,1330,1000,0.607,6.07,6650733.458
complete,0.5,0.5001,10,0.1,1340,1000,0.605,6.05,6700740.428
complete,0.5,0.5001,10,0.1,1350,1000,0.6,6.0,6750747.243
complete,0.5,0.5001,10,0.1,1360,1000,0.6,6.0,6800753.932
complete,0.5,0.5001,10,0.1,1370,1000,0.6,6.0,6850764.191
complete,0.5,0.5001,10,0.1,1380,1000,0.603,6.03,6900770.69
complete,0.5,0.5001,10,0.1,1390,1000,0.596,5.96,6950774.598
complete,0.5,0.5001,10,0.1,1400,1000,0.597,5.97,7000783.22
