scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,default,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged,avg_group_time_to_converge_succ,min_group_time_to_converge_succ,median_group_time_to_converge_succ,max_group_time_to_converge_succ,stnd_dev_group_time_to_converge_succ,times_group_converged_succ
baseline,complete,N/A,0.5,0.6,16,N/A,1000,820,1000,13088.108,0,16000.0,16000,6136.19966822593,5.336,1,1.0,420,22.84327262018295,5.41,1,1.0,421,22.89440761408777,1000,5.836585365853659,1,1.0,421,24.80131050921342,820
restrict_dissemination,star,random,0.5,0.6,16,-1,1000,992,1000,11348.15,0,14992.5,16000,4961.27619786482,10.467,1,3.0,198,21.549499089305996,65.82539682539682,1,28.0,960,113.14331615222304,504,66.81451612903226,1,28.0,960,113.78023291497176,496
baseline,complete,N/A,0.5,0.6,18,N/A,1000,832,1000,14933.838,0,18000.0,18000,6723.45312691001,5.932,1,1.0,722,32.004302460762986,6.582,1,1.0,723,37.36401043785316,1000,6.325721153846154,1,1.0,723,34.25331134974026,832
restrict_dissemination,star,random,0.5,0.6,18,-1,1000,996,1000,13028.647,0,17823.5,18000,5567.868181484813,9.259,1,1.0,189,21.699675550569875,67.19128787878788,1,27.0,987,129.38844850262763,528,67.18129770992367,1,27.0,987,129.64734740206714,524
baseline,complete,N/A,0.5,0.6,20,N/A,1000,837,1000,16699.955,0,20000.0,20000,7372.99610043129,5.59,1,1.0,931,34.61938618751061,5.631,1,1.0,931,34.6243965867999,1000,5.92831541218638,1,1.0,931,36.86650817800117,837
restrict_dissemination,star,random,0.5,0.6,20,-1,1000,997,1000,14389.405,0,19800.0,20000,6188.928879133691,8.865,1,2.0,597,26.39777973618236,78.88614800759014,1,32.0,997,143.90775013236868,527,79.1030534351145,1,32.0,997,144.22697624820205,524
baseline,complete,N/A,0.5,0.6,25,N/A,1000,880,1000,21953.167,0,25000.0,25000,8118.218716511092,4.511,1,1.0,406,22.293583807903115,4.524,1,1.0,406,22.293977303298753,1000,4.9363636363636365,1,1.0,406,23.722314877357476,880
restrict_dissemination,star,random,0.5,0.6,25,-1,1000,999,1000,17852.803,36,24809.0,25000,7922.134720149045,8.238,1,2.0,228,21.934433113258248,73.3062381852552,1,31.0,880,119.86112308363185,529,73.32954545454545,1,31.0,880,119.97337661649391,528
baseline,complete,N/A,0.5,0.6,30,N/A,1000,863,1000,25846.358,0,30000.0,30000,10298.276120294891,4.084,1,1.0,761,26.257512144146485,4.102,1,1.0,761,26.26045688863772,1000,4.4785631517960605,1,1.0,761,28.230703136084216,863
restrict_dissemination,star,random,0.5,0.6,30,-1,1000,1000,1000,20963.854,1991,29617.0,29999,9478.930834048955,5.849,1,1.0,157,15.646795167062168,75.9089108910891,2,35.0,915,123.18301453167507,505,75.9089108910891,2,35.0,915,123.18301453167507,505
