scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,inertia,n_steps,n_success,n_runs,avg_total_succ_pulls,min_total_succ_pulls,median_total_succ_pulls,max_total_succ_pulls,stnd_dev_total_succ_pulls,avg_ca_time_to_converge,min_ca_time_to_converge,median_ca_time_to_converge,max_ca_time_to_converge,stnd_dev_ca_time_to_converge,avg_group_time_to_converge,min_group_time_to_converge,median_group_time_to_converge,max_group_time_to_converge,stnd_dev_group_time_to_converge,times_group_converged,avg_group_time_to_converge_succ,min_group_time_to_converge_succ,median_group_time_to_converge_succ,max_group_time_to_converge_succ,stnd_dev_group_time_to_converge_succ,times_group_converged_succ
baseline,complete,N/A,0.5,0.7300000000000002,9,5,1000,981,1000,8809.039,4,8987.0,9000,1225.0015377455654,3.63,1,3.0,136,6.1987982706327855,5.541,1,4.0,136,5.961402435668977,1000,5.5616717635066255,1,4.0,136,6.014721902976108,981
restrict_dissemination,star,random,0.5,0.7300000000000002,9,-1,1000,999,1000,8440.6,11,8977.0,9000,1155.0385950261575,3.184,1,3.0,42,3.7504858351952217,14.749336870026525,1,7.0,668,36.94223795580881,754,14.755644090305445,1,7.0,668,36.9663541524747,753
baseline,complete,N/A,0.5,0.7500000000000002,9,5,1000,984,1000,8830.386,3,8987.0,9000,1135.1884033075742,4.226,1,3.0,450,18.279686102337752,6.098,1,4.0,451,18.1031598346808,1000,6.126016260162602,1,4.0,451,18.24774108928347,984
restrict_dissemination,star,random,0.5,0.7500000000000002,9,-1,1000,1000,1000,8496.029,1988,8977.0,9000,1062.561085377683,3.07,1,3.0,44,2.9693602004472277,14.915167095115681,1,6.5,455,34.46764439759588,778,14.915167095115681,1,6.5,455,34.46764439759588,778
baseline,complete,N/A,0.5,0.7700000000000002,9,5,1000,992,1000,8908.81,3,8987.0,9000,802.4704118532969,3.283,1,3.0,236,8.29957294082051,5.166,1,4.0,236,8.097434408502485,1000,5.145161290322581,1,4.0,236,8.08455172454779,992
restrict_dissemination,star,random,0.5,0.7700000000000002,9,-1,1000,999,1000,8500.882,5,8978.0,9000,1067.9931376539832,3.049,1,3.0,35,3.1775145947737204,17.895213454075034,1,6.0,917,55.99875844458316,773,17.91062176165803,1,6.5,917,56.03337773913809,772
baseline,complete,N/A,0.5,0.7900000000000003,9,5,1000,993,1000,8919.925,3,8987.0,9000,749.0198644728991,3.06,1,3.0,79,4.311890536643991,4.878,1,4.0,79,3.893984591649022,1000,4.879154078549849,1,4.0,79,3.906961598473887,993
restrict_dissemination,star,random,0.5,0.7900000000000003,9,-1,1000,999,1000,8645.242,10,8981.0,8998,875.2698437830473,2.839,1,3.0,22,2.608654634097814,18.679471788715485,3,6.0,589,49.48247678688578,833,18.69591346153846,3,6.0,589,49.50993084756808,832
baseline,complete,N/A,0.5,0.8100000000000003,9,5,1000,993,1000,8918.983,3,8988.0,9000,753.9904738861095,3.538,1,3.0,463,17.918162740638337,5.375,1,4.0,463,17.760078124828166,1000,5.384692849949648,1,4.0,463,17.82219011668335,993
restrict_dissemination,star,random,0.5,0.8100000000000003,9,-1,1000,998,1000,8644.463,5,8981.0,9000,901.0288489449159,2.779,1,3.0,74,3.0861236203366835,21.00942285041225,1,6.0,831,68.12836844736124,849,21.02948113207547,1,6.0,831,68.16602117025465,848
baseline,complete,N/A,0.5,0.8300000000000003,9,5,1000,998,1000,8967.482,3,8988.0,9000,401.48228812240274,2.655,1,3.0,31,2.2587551881512082,4.483,1,4.0,31,1.6098791880138088,1000,4.4839679358717435,1,4.0,31,1.6113461328011855,998
restrict_dissemination,star,random,0.5,0.8300000000000003,9,-1,1000,999,1000,8685.833,18,8982.0,8998,855.1847070142217,2.655,1,3.0,20,1.995488661957266,21.391003460207614,3,6.0,942,74.33741499771996,867,21.40415704387991,3,6.0,942,74.37931422490101,866
baseline,complete,N/A,0.5,0.8500000000000003,9,5,1000,999,1000,8977.25,9,8988.0,9000,283.945641804906,2.596,1,3.0,26,2.2056255348540015,4.41,1,4.0,26,1.6062067114789427,1000,4.41041041041041,1,4.0,26,1.6069580099609044,999
restrict_dissemination,star,random,0.5,0.8500000000000003,9,-1,1000,1000,1000,8748.921,3066,8983.0,8998,709.0210368945338,2.472,1,3.0,15,1.7184923625084867,22.112097669256382,3,5.0,966,78.62886930276079,901,22.112097669256382,3,5.0,966,78.62886930276079,901
baseline,complete,N/A,0.5,0.8700000000000003,9,5,1000,996,1000,8947.614,4,8988.0,9000,571.0094106089672,2.915,1,3.0,241,7.973818094238167,4.643,1,4.0,241,7.757032357802823,1000,4.64859437751004,1,4.0,241,7.772041336629756,996
restrict_dissemination,star,random,0.5,0.8700000000000003,9,-1,1000,998,1000,8783.158,0,8984.0,8998,760.7922338168286,2.444,1,1.0,14,1.6639903845876032,21.480086114101184,1,5.0,970,79.60524160136939,929,21.502155172413794,3,5.0,970,79.64528036870988,928
baseline,complete,N/A,0.5,0.8900000000000003,9,5,1000,999,1000,8976.901,2,8988.0,9000,288.01357815040603,2.617,1,1.0,169,5.686678380214588,4.398,1,4.0,170,5.477371267314278,1000,4.3993993993994,1,4.0,170,5.4799333307029,999
restrict_dissemination,star,random,0.5,0.8900000000000003,9,-1,1000,999,1000,8766.548,3000,8984.5,9000,721.9198873116046,2.418,1,3.0,14,1.5521842674115724,26.10537634408602,1,5.0,977,89.57982967763121,930,26.10537634408602,1,5.0,977,89.57982967763121,930
baseline,complete,N/A,0.5,0.9100000000000004,9,5,1000,999,1000,8978.314,0,8988.0,9000,284.17054985342867,2.441,1,3.0,14,1.6445421855337128,4.162,1,4.0,14,0.8762168681325417,1000,4.165165165165165,1,4.0,14,0.8709226452456896,999
restrict_dissemination,star,random,0.5,0.9100000000000004,9,-1,1000,1000,1000,8791.189,167,8984.0,9000,762.1249407275686,3.518,1,3.0,983,31.266750326824816,25.52620545073375,1,5.0,983,90.1613034179801,954,25.52620545073375,1,5.0,983,90.1613034179801,954
baseline,complete,N/A,0.5,0.9300000000000004,9,5,1000,999,1000,8978.226,6,8988.0,9000,284.3314631271045,2.422,1,3.0,53,2.2207917507051396,4.125,1,4.0,54,1.7485351011632566,1000,4.125125125125125,1,4.0,54,1.7494055502194161,999
restrict_dissemination,star,random,0.5,0.9300000000000004,9,-1,1000,1000,1000,8794.884,1997,8985.0,9000,783.2732821589155,2.29,1,1.0,7,1.4028185912654565,20.957247132429615,1,4.0,997,74.89909268209512,959,20.957247132429615,1,4.0,997,74.89909268209512,959
baseline,complete,N/A,0.5,0.9500000000000004,9,5,1000,1000,1000,8984.723,6361,8988.0,9000,83.72660432025177,2.735,1,3.0,293,9.35696398411365,4.393,1,4.0,295,9.265125525323441,1000,4.393,1,4.0,295,9.265125525323441,1000
restrict_dissemination,star,random,0.5,0.9500000000000004,9,-1,1000,1000,1000,8854.228,3000,8986.0,9000,607.7969315618499,2.363,1,3.0,13,1.4768991163921792,19.095384615384614,1,4.0,571,53.53490238685431,975,19.095384615384614,1,4.0,571,53.53490238685431,975
baseline,complete,N/A,0.5,0.9700000000000004,9,5,1000,1000,1000,8987.318,8334,8989.0,8998,21.68347010974027,2.31,1,1.0,75,2.7338434483342304,4.115,3,4.0,75,2.324602116492196,1000,4.115,3,4.0,75,2.324602116492196,1000
restrict_dissemination,star,random,0.5,0.9700000000000004,9,-1,1000,1000,1000,8812.623,2990,8985.0,9000,745.7177045444207,2.348,1,3.0,6,1.3479228464567252,21.75,1,4.0,816,68.74931630013158,968,21.75,1,4.0,816,68.74931630013158,968
baseline,complete,N/A,0.5,0.9900000000000004,9,5,1000,1000,1000,8987.526,8066,8988.0,9000,29.464102294147708,2.409,1,3.0,105,3.514501244842574,4.077,1,4.0,105,3.2185510715227137,1000,4.077,1,4.0,105,3.2185510715227137,1000
restrict_dissemination,star,random,0.5,0.9900000000000004,9,-1,1000,1000,1000,8844.253,2997,8986.0,9000,582.7812256679174,2.314,1,3.0,8,1.359192407277204,26.08273748723187,1,4.0,968,87.43134062834095,979,26.08273748723187,1,4.0,968,87.43134062834095,979
