network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,101,3,10,unlimited,epsilonGreedy,0.4,200,1000,1.0,18.646,3.108,0.019258896186648368,18.439
isolated,101,3,10,unlimited,epsilonGreedy,0.4,200,1000,1.0,33.102,2.181,0.033430055876874816,18.969
complete,101,3,10,10,epsilonGreedy,0.5,200,1000,0.985,45.45888324873096,1.943,0.04781590040192138,4.226
isolated,101,3,10,10,epsilonGreedy,0.5,200,1000,0.968,56.89566115702479,2.448,0.06124399568669738,45.047
complete,101,3,10,25,epsilonGreedy,0.5,200,1000,1.0,25.106,2.331,0.025591608665817077,7.221
isolated,101,3,10,25,epsilonGreedy,0.5,200,1000,0.996,44.25100401606426,2.366,0.044970100970493095,29.579
complete,101,3,10,unlimited,epsilonGreedy,0.5,200,1000,1.0,17.386,2.739,0.01802372316439565,12.534
isolated,101,3,10,unlimited,epsilonGreedy,0.5,200,1000,1.0,33.522,2.172,0.033841780217625725,14.268
complete,101,3,10,10,epsilonGreedy,0.6,200,1000,0.993,51.22860020140987,1.738,0.052220370551906675,2.358
isolated,101,3,10,10,epsilonGreedy,0.6,200,1000,0.961,67.26534859521333,2.507,0.07199490246054308,46.96
complete,101,3,10,25,epsilonGreedy,0.6,200,1000,1.0,24.981,2.062,0.025469071659641213,3.954
isolated,101,3,10,25,epsilonGreedy,0.6,200,1000,0.999,50.214214214214216,2.404,0.050351926281737076,27.121
complete,101,3,10,unlimited,epsilonGreedy,0.6,200,1000,1.0,15.883,2.422,0.016550338202137044,6.871
isolated,101,3,10,unlimited,epsilonGreedy,0.6,200,1000,1.0,35.59,2.198,0.03586903244779924,13.918
complete,101,3,10,10,epsilonGreedy,0.7,200,1000,0.99,55.816161616161615,1.578,0.0571100872463484,1.152
isolated,101,3,10,10,epsilonGreedy,0.7,200,1000,0.928,80.85344827586206,2.632,0.08865013233996667,58.544
complete,101,3,10,25,epsilonGreedy,0.7,200,1000,1.0,25.875,1.773,0.026345456327811,1.874
isolated,101,3,10,25,epsilonGreedy,0.7,200,1000,0.999,60.989989989989986,2.489,0.060904813253602585,31.019
complete,101,3,10,unlimited,epsilonGreedy,0.7,200,1000,1.0,16.851,2.145,0.017499264777962945,4.301
isolated,101,3,10,unlimited,epsilonGreedy,0.7,200,1000,1.0,40.161,2.222,0.040349965689638265,13.987
complete,101,3,10,10,epsilonGreedy,0.8,200,1000,0.975,73.15076923076923,1.471,0.07579845113224193,0.727
isolated,101,3,10,10,epsilonGreedy,0.8,200,1000,0.759,98.28194993412384,2.866,0.12135672973237917,89.117
complete,101,3,10,25,epsilonGreedy,0.8,200,1000,1.0,32.253,1.547,0.032597784530928334,0.927
isolated,101,3,10,25,epsilonGreedy,0.8,200,1000,0.989,81.88372093023256,2.614,0.08252426232722283,45.354
complete,101,3,10,unlimited,epsilonGreedy,0.8,200,1000,1.0,18.021,1.83,0.018646211155769043,1.964
isolated,101,3,10,unlimited,epsilonGreedy,0.8,200,1000,1.0,47.991,2.277,0.04802568375649446,16.294
complete,101,3,10,10,epsilonGreedy,0.9,200,1000,0.733,101.75443383356071,1.485,0.1264444662288011,0.739
isolated,101,3,10,10,epsilonGreedy,0.9,200,1000,0.403,109.35483870967742,3.045,0.16122929124595625,131.455
complete,101,3,10,25,epsilonGreedy,0.9,200,1000,1.0,54.324,1.39,0.05423389863738849,0.532
isolated,101,3,10,25,epsilonGreedy,0.9,200,1000,0.823,116.5820170109356,2.937,0.12973924125085776,91.917
complete,101,3,10,unlimited,epsilonGreedy,0.9,200,1000,1.0,25.365,1.524,0.02584550534261347,0.818
isolated,101,3,10,unlimited,epsilonGreedy,0.9,200,1000,1.0,72.848,2.497,0.07239290265660231,31.332
complete,101,3,10,10,epsilonGreedy,1.0,200,1000,0.183,105.12021857923497,1.567,0.18001862562493876,0.853
isolated,101,3,10,10,epsilonGreedy,1.0,200,1000,0.171,100.27485380116958,3.143,0.1803225174002549,150.684
complete,101,3,10,25,epsilonGreedy,1.0,200,1000,0.188,100.08510638297872,1.585,0.1786256249387315,0.915
isolated,101,3,10,25,epsilonGreedy,1.0,200,1000,0.192,95.58854166666667,3.136,0.17738751102833056,146.765
complete,101,3,10,unlimited,epsilonGreedy,1.0,200,1000,0.204,101.57843137254902,1.562,0.17735712185079894,0.887
isolated,101,3,10,unlimited,epsilonGreedy,1.0,200,1000,0.202,91.02970297029702,3.097,0.17546122929124597,144.618
