network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,2,10,5,200,100,0.77,68.58441558441558,2.84,0.09784334869130477,960.01,33.9,3.32,0.62,0.16,0.07,0.02,0.0,0.0,0.0
isolated,101,2,10,5,200,100,0.5,59.84,4.05,0.12834035878835406,957.19,168.41,87.44,53.78,27.72,11.2,3.12,0.34,0.0,0.0
complete,101,2,10,10,200,100,0.68,68.45588235294117,3.81,0.10935202431134203,1061.4,45.51,6.16,1.45,0.58,0.21,0.11,0.06,0.02,0.0
isolated,101,2,10,10,200,100,0.54,79.51851851851852,4.24,0.13326144495637682,990.55,182.39,94.6,55.41,25.35,9.1,1.78,0.17,0.05,0.0
complete,101,2,10,unlimited,200,100,1.0,51.15,6.11,0.05112243897657092,403.84,84.58,22.95,6.2,2.12,0.9,0.43,0.29,0.18,0.01
isolated,101,2,10,unlimited,200,100,0.83,87.65060240963855,3.45,0.10562689932359573,859.59,122.54,54.9,25.95,9.82,3.65,0.91,0.14,0.0,0.0
complete,101,4,10,5,200,100,0.9,66.47777777777777,2.66,0.0792373296735614,776.78,28.08,2.81,0.48,0.11,0.03,0.01,0.0,0.0,0.0
isolated,101,4,10,5,200,100,0.81,54.76543209876543,2.85,0.08171747867856094,658.34,90.51,42.8,24.65,12.45,3.67,0.92,0.26,0.0,0.0
complete,101,4,10,10,200,100,0.89,56.51685393258427,3.27,0.07185570042152731,691.2,34.8,5.22,1.14,0.39,0.16,0.05,0.02,0.01,0.01
isolated,101,4,10,10,200,100,0.8,62.65,2.99,0.08932457602195865,719.16,99.37,44.81,25.14,12.85,6.73,2.6,0.49,0.05,0.0
complete,101,4,10,unlimited,200,100,1.0,33.41,5.06,0.033731987060092145,250.95,68.39,18.13,4.46,1.28,0.45,0.2,0.14,0.09,0.01
isolated,101,4,10,unlimited,200,100,0.98,67.8061224489796,2.47,0.0700421527301245,613.96,63.01,23.87,9.58,3.02,0.91,0.15,0.0,0.0,0.0
complete,101,6,10,5,200,100,0.99,45.24242424242424,2.05,0.04684834820115674,466.72,10.43,0.65,0.08,0.02,0.0,0.0,0.0,0.0,0.0
isolated,101,6,10,5,200,100,0.91,49.02197802197802,2.39,0.06235663170277424,533.7,55.57,24.11,13.27,6.28,2.68,0.49,0.0,0.0,0.0
complete,101,6,10,10,200,100,0.99,41.95959595959596,2.9,0.043662386040584256,420.96,20.79,2.64,0.55,0.23,0.12,0.07,0.04,0.0,0.0
isolated,101,6,10,10,200,100,0.93,49.204301075268816,2.27,0.059562787961964514,522.05,47.99,18.28,10.0,5.6,2.77,0.84,0.07,0.0,0.0
complete,101,6,10,unlimited,200,100,1.0,26.77,4.54,0.027222821292030193,199.65,57.53,14.87,3.85,1.05,0.39,0.19,0.1,0.06,0.01
isolated,101,6,10,unlimited,200,100,1.0,47.58,2.04,0.0476227820801882,436.92,36.49,7.91,2.66,1.06,0.62,0.14,0.0,0.0,0.0
complete,101,8,10,5,200,100,1.0,41.0,2.16,0.04117243407509068,407.51,11.01,1.2,0.21,0.06,0.01,0.0,0.0,0.0,0.0
isolated,101,8,10,5,200,100,0.93,44.32258064516129,2.38,0.05511224389765709,477.1,43.74,20.15,11.61,6.01,2.77,0.8,0.02,0.0,0.0
complete,101,8,10,10,200,100,0.98,31.26530612244898,2.56,0.03493775120086266,338.07,15.6,2.14,0.44,0.08,0.03,0.02,0.01,0.01,0.0
isolated,101,8,10,10,200,100,1.0,40.9,1.93,0.04107440447014999,390.26,19.47,4.41,2.7,1.46,0.55,0.15,0.0,0.0,0.0
complete,101,8,10,unlimited,200,100,1.0,19.03,4.05,0.01963532986962063,147.72,39.87,9.39,2.25,0.55,0.24,0.12,0.08,0.07,0.01
isolated,101,8,10,unlimited,200,100,1.0,37.49,1.78,0.037731594941672386,368.99,13.75,1.77,0.39,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,10,10,5,200,100,1.0,29.91,1.84,0.030300950887167923,304.11,4.69,0.23,0.05,0.02,0.0,0.0,0.0,0.0,0.0
isolated,101,10,10,5,200,100,1.0,33.64,1.81,0.03395745515145574,333.84,11.58,0.97,0.01,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,10,10,10,200,100,1.0,25.57,2.15,0.026046466032741883,258.6,6.77,0.27,0.04,0.01,0.01,0.0,0.0,0.0,0.0
isolated,101,10,10,10,200,100,1.0,38.34,1.82,0.038564846583668266,381.26,11.52,0.56,0.06,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,10,10,unlimited,200,100,1.0,16.95,3.97,0.01759631408685423,133.94,35.25,7.7,1.72,0.52,0.14,0.1,0.07,0.05,0.01
isolated,101,10,10,unlimited,200,100,1.0,36.03,1.82,0.03630036270953828,355.59,14.16,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
