network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,101,1,10,5,200,100,0.52,90.96153846153847,2.04,0.14145671992941866,1433.76,9.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,1,10,5,200,100,0.49,80.04081632653062,2.58,0.13941770414665228,1282.51,127.12,11.89,0.68,0.0,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,10,200,100,0.67,89.08955223880596,2.78,0.1241937064993628,1244.82,20.37,1.43,0.24,0.04,0.0,0.0,0.0,0.0,0.0
isolated,101,1,10,10,200,100,0.68,85.6029411764706,2.77,0.1207822762474267,1102.87,115.87,11.94,1.19,0.23,0.0,0.0,0.0,0.0,0.0
complete,101,1,10,unlimited,200,100,0.82,84.1219512195122,7.16,0.10389177531614546,1014.46,26.93,8.65,3.82,2.18,1.4,0.96,0.78,0.56,0.06
isolated,101,1,10,unlimited,200,100,0.84,82.9047619047619,2.64,0.10061758651112637,957.53,65.48,3.24,0.14,0.01,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,5,200,100,0.63,71.4920634920635,1.97,0.11767473777080678,1193.25,6.97,0.17,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,2,10,5,200,100,0.65,60.738461538461536,2.38,0.1083031075384766,977.71,113.41,12.61,0.98,0.09,0.0,0.0,0.0,0.0,0.0
complete,101,2,10,10,200,100,0.85,71.17647058823529,2.44,0.08969708852073324,898.83,14.94,1.04,0.17,0.01,0.01,0.0,0.0,0.0,0.0
isolated,101,2,10,10,200,100,0.88,63.57954545454545,2.64,0.07935496519949024,712.46,79.34,13.85,3.07,0.75,0.03,0.0,0.0,0.0,0.0
complete,101,2,10,unlimited,200,100,0.92,53.95652173913044,6.87,0.06532692873247721,627.96,24.03,7.05,2.8,1.56,0.98,0.78,0.68,0.51,0.05
isolated,101,2,10,unlimited,200,100,0.99,53.63636363636363,2.4,0.05499460837172826,528.25,29.41,2.87,0.38,0.09,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,5,200,100,0.76,70.36842105263158,2.0,0.10046073914322123,1017.28,7.34,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,5,200,100,0.74,71.0,2.38,0.10346044505440645,929.2,107.17,16.13,2.62,0.28,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,10,200,100,0.87,61.93103448275862,2.65,0.07928634447603176,793.75,13.76,1.07,0.19,0.03,0.0,0.0,0.0,0.0,0.0
isolated,101,3,10,10,200,100,0.96,50.677083333333336,2.36,0.05651406724830899,515.13,49.45,9.88,1.66,0.38,0.0,0.0,0.0,0.0,0.0
complete,101,3,10,unlimited,200,100,1.0,37.45,6.38,0.03769238309969611,350.66,21.9,6.19,2.32,1.21,0.78,0.58,0.49,0.32,0.05
isolated,101,3,10,unlimited,200,100,1.0,46.43,2.44,0.04649544162337025,441.46,27.8,3.62,0.72,0.42,0.19,0.09,0.0,0.0,0.0
complete,101,4,10,5,200,100,0.75,52.13333333333333,1.99,0.08832467405156358,894.58,6.26,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,4,10,5,200,100,0.74,59.891891891891895,2.5,0.09540241152828152,821.99,123.32,22.75,4.3,0.84,0.0,0.0,0.0,0.0,0.0
complete,101,4,10,10,200,100,0.96,48.59375,2.33,0.05455347514949515,546.23,9.47,0.71,0.09,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,4,10,10,200,100,0.97,43.92783505154639,2.3,0.04863248701107735,444.89,41.52,7.17,2.03,0.49,0.0,0.0,0.0,0.0,0.0
complete,101,4,10,unlimited,200,100,1.0,23.67,5.99,0.024183903538868737,214.76,21.61,5.76,1.99,0.87,0.58,0.43,0.38,0.29,0.03
isolated,101,4,10,unlimited,200,100,1.0,36.49,2.44,0.036751298892265465,345.08,23.84,4.2,1.12,0.51,0.15,0.0,0.0,0.0,0.0
complete,101,5,10,5,200,100,0.86,43.25581395348837,1.89,0.06489559847073817,656.95,4.89,0.15,0.01,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,5,10,5,200,100,0.83,39.80722891566265,2.33,0.0666993432016469,573.45,85.36,17.31,3.5,0.78,0.0,0.0,0.0,0.0,0.0
complete,101,5,10,10,200,100,1.0,41.39,2.24,0.04155474953435938,416.09,7.39,0.38,0.04,0.0,0.0,0.0,0.0,0.0,0.0
isolated,101,5,10,10,200,100,0.94,37.92553191489362,2.46,0.04769140280364669,429.42,42.84,9.33,3.27,1.17,0.32,0.15,0.0,0.0,0.0
complete,101,5,10,unlimited,200,100,1.0,18.78,5.44,0.019390255857268893,169.64,19.36,5.05,1.64,0.88,0.45,0.31,0.27,0.18,0.02
isolated,101,5,10,unlimited,200,100,1.0,38.23,2.57,0.03845701401823351,361.31,25.11,4.34,1.07,0.32,0.09,0.06,0.0,0.0,0.0
