network_structure,grid_size,sigma,num_agents,agent_range,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,one+_visit,two+_visits,three+_visits,four+_visits,five+_visits,six+_visits,seven+_visits,eight+_visits,nine+_visits,ten+_visits
complete,151,1,10,5,200,100,0.23,79.95652173913044,3.56,0.07604491031095129,1665.1,60.99,6.53,0.95,0.18,0.06,0.05,0.03,0.01,0.0
isolated,151,1,10,5,200,100,0.17,84.17647058823529,3.32,0.0795184421735889,1551.93,193.66,52.9,12.72,1.88,0.01,0.0,0.0,0.0,0.0
complete,151,1,10,10,200,100,0.26,86.0,4.0,0.0751545984825227,1616.99,83.01,11.08,1.95,0.4,0.11,0.05,0.01,0.0,0.0
isolated,151,1,10,10,200,100,0.26,83.57692307692308,3.2,0.0748782948116311,1460.86,178.45,50.04,14.73,2.81,0.41,0.0,0.0,0.0,0.0
complete,151,1,10,unlimited,200,100,0.62,110.41935483870968,6.36,0.06379544756808912,1269.74,133.78,36.89,9.5,2.7,1.01,0.48,0.29,0.2,0.01
isolated,151,1,10,unlimited,200,100,0.33,99.45454545454545,3.44,0.07360203499846499,1425.12,174.05,57.14,17.08,4.5,0.31,0.0,0.0,0.0,0.0
complete,151,2,10,5,200,100,0.44,93.81818181818181,3.33,0.06766369896057191,1481.39,54.47,5.8,0.86,0.18,0.06,0.02,0.02,0.0,0.0
isolated,151,2,10,5,200,100,0.34,90.8529411764706,3.12,0.0718784263848077,1396.85,173.96,51.39,12.68,3.47,0.5,0.05,0.0,0.0,0.0
complete,151,2,10,10,200,100,0.49,98.79591836734694,3.82,0.06640498223762116,1433.92,70.1,8.04,1.33,0.42,0.17,0.08,0.03,0.01,0.0
isolated,151,2,10,10,200,100,0.41,91.21951219512195,3.12,0.06859348274198501,1340.94,160.43,46.76,13.36,2.51,0.0,0.0,0.0,0.0,0.0
complete,151,2,10,unlimited,200,100,0.98,79.13265306122449,6.28,0.03620455243191088,665.65,116.74,30.91,7.93,2.4,0.91,0.45,0.28,0.18,0.05
isolated,151,2,10,unlimited,200,100,0.53,96.90566037735849,2.94,0.0641901670979343,1269.63,138.08,40.92,11.49,3.19,0.23,0.06,0.0,0.0,0.0
complete,151,3,10,5,200,100,0.55,67.6,2.98,0.05621683259506163,1235.97,40.53,4.34,0.7,0.17,0.06,0.02,0.01,0.0,0.0
isolated,151,3,10,5,200,100,0.58,74.36206896551724,2.56,0.05619490373229245,1124.85,111.63,32.72,9.3,2.61,0.19,0.0,0.0,0.0,0.0
complete,151,3,10,10,200,100,0.54,76.29629629629629,3.55,0.058857067672470495,1272.52,60.42,7.16,1.2,0.44,0.15,0.07,0.03,0.01,0.0
isolated,151,3,10,10,200,100,0.52,86.46153846153847,2.79,0.06226042717424675,1244.89,128.5,35.95,8.98,1.25,0.03,0.0,0.0,0.0,0.0
complete,151,3,10,unlimited,200,100,1.0,72.31,6.6,0.032152098592167014,556.99,127.68,34.52,8.78,2.79,1.07,0.62,0.38,0.23,0.04
isolated,151,3,10,unlimited,200,100,0.66,103.4090909090909,2.59,0.0601947283013903,1224.55,115.45,26.96,5.15,0.39,0.0,0.0,0.0,0.0,0.0
complete,151,4,10,5,200,100,0.63,70.23809523809524,2.75,0.05230033770448665,1149.21,38.75,3.87,0.48,0.14,0.03,0.02,0.0,0.0,0.0
isolated,151,4,10,5,200,100,0.57,72.71929824561404,2.58,0.056335248454015184,1121.89,116.73,35.06,9.07,1.5,0.25,0.0,0.0,0.0,0.0
complete,151,4,10,10,200,100,0.61,79.45901639344262,3.61,0.05590544274373931,1202.68,61.94,8.08,1.39,0.34,0.14,0.08,0.04,0.01,0.0
isolated,151,4,10,10,200,100,0.54,70.74074074074075,2.66,0.0575413359063199,1143.26,121.74,33.77,9.74,2.53,0.84,0.12,0.0,0.0,0.0
complete,151,4,10,unlimited,200,100,1.0,63.88,6.04,0.028454892329283808,472.87,128.16,34.55,8.86,2.47,1.0,0.51,0.27,0.1,0.01
isolated,151,4,10,unlimited,200,100,0.75,91.33333333333333,2.48,0.052409982018332524,1059.89,98.39,28.17,7.6,0.95,0.0,0.0,0.0,0.0,0.0
complete,151,5,10,5,200,100,0.7,75.64285714285714,2.63,0.0499758782509539,1104.17,32.55,2.37,0.23,0.09,0.05,0.03,0.01,0.0,0.0
isolated,151,5,10,5,200,100,0.63,72.68253968253968,2.53,0.05297574667777729,1063.4,105.33,29.04,7.13,2.34,0.59,0.07,0.0,0.0,0.0
complete,151,5,10,10,200,100,0.73,68.45205479452055,3.09,0.04603745449760976,999.74,43.2,5.39,0.91,0.3,0.12,0.03,0.01,0.0,0.0
isolated,151,5,10,10,200,100,0.68,73.92647058823529,2.33,0.05055480022806018,1038.0,86.58,24.32,3.57,0.23,0.0,0.0,0.0,0.0,0.0
complete,151,5,10,unlimited,200,100,1.0,55.95,5.97,0.024976974694092366,412.3,115.55,30.75,7.32,1.88,0.78,0.41,0.31,0.17,0.03
isolated,151,5,10,unlimited,200,100,0.83,82.13253012048193,2.34,0.0452480154379194,914.62,82.91,24.51,7.82,1.51,0.33,0.0,0.0,0.0,0.0
